citing_doi	year	title	venue	authors
10.1093/nar/gky1290	2018	Engagement of DNA and H3K27me3 by the CBX8 chromodomain drives chromatin association	Nucleic Acids Research	Katelyn E. Connelly, Tyler Weaver, Aktan Alpsoy, Brian X. Gu, Catherine A. Musselman, Emily C. Dykhuizen
10.1007/978-3-319-98758-3_2	2018	Functional Genomics	Advances in experimental medicine and biology	Hoe‐Han Goh, Chyan Leong Ng, Kok-Keong Loke
10.1109/access.2018.2883149	2018	Future Cloud Systems Design: Challenges and Research Directions	IEEE Access	Amir Taherkordi, Feroz Zahid, Yiannis Verginadis, Geir Horn
10.1101/499558	2018	G-OnRamp: A Galaxy-based platform for creating genome browsers for collaborative genome annotation	bioRxiv (Cold Spring Harbor Laboratory)	Yating Liu, Luke Sargent, Wilson Leung, Sarah C. R. Elgin, Jeremy Goecks
10.1101/488643	2018	Galaxy-Kubernetes integration: scaling bioinformatics workflows in the cloud	bioRxiv (Cold Spring Harbor Laboratory)	Pablo A Moreno, Luca Pireddu, Pierrick Roger, Nuwan Goonasekera, Enis Afgan, Marius van den Beek, Sijin He, Anders O. Larsson, Daniel Schober, Christoph Ruttkies, David Johnson, Philippe Rocca‐Serra, Ralf J. M. Weber, Björn Grüening, Reza M. Salek, Namrata Kale, Yasset Pérez‐Riverol, Irene Papatheod
10.1186/s12864-018-4917-1	2018	Generation of Mycoplasma hominis gene-targeted mutants by targeting-induced local lesions in genomes (TILLING)	BMC Genomics	Sabine Pereyre, Camille Bénard, Cécile Brès, Chloé Le Roy, Jean‐Philippe Mauxion, Fabien Rideau, Pascal Sirand‐Pugnet, Birgit Henrich, Cécile Marie Bébéar
10.12688/f1000research.16450.1	2018	Improve your Galaxy text life: The Query Tabular Tool	F1000Research	James E. Johnson, Praveen Kumar, Caleb Easterly, Mark Esler, Subina Mehta, Arthur C. Eschenlauer, Adrian D. Hegeman, Pratik Jagtap, Timothy J. Griffin
10.1101/359323	2018	Integration of accessibility data from structure probing into RNA-RNA interaction prediction	bioRxiv (Cold Spring Harbor Laboratory)	Milad Miladi, Soheila Montaseri, Rolf Backofen, Martin Raden
10.3389/fninf.2018.00091	2018	Integration of “omics” Data and Phenotypic Data Within a Unified Extensible Multimodal Framework	Frontiers in Neuroinformatics	Samir Das, Xavier Boucher, Christine Rogers, Carolina Makowski, François Chouinard-Decorte, Kathleen Klein, Natacha Beck, Pierre Rioux, Shawn T. Brown, Zia Mohaddes, Cole Zweber, Victoria Foing, Marie Forest, Kieran J. O’Donnell, Joanne Clark, Michael Joseph Meaney, Celia M.T. Greenwood, Alan Charle
10.1101/446070	2018	IsoProt: A complete and reproducible workflow to analyse iTRAQ/TMT experiments	bioRxiv (Cold Spring Harbor Laboratory)	Johannes Griss, Goran Vinterhalter, Veit Schwämmle
10.1101/472464	2018	Laniakea: an open solution to provide Galaxy “on-demand” instances over heterogeneous cloud infrastructures	bioRxiv (Cold Spring Harbor Laboratory)	Marco Antonio Tangaro, Giacinto Donvito, Marica Antonacci, Matteo Chiara, Pietro Mandreoli, Graziano Pesole, Federico Zambelli
10.1101/409672	2018	Live-Cell Imaging Reveals Enhancer-dependent Sox2 Transcription in the Absence of Enhancer Proximity	bioRxiv (Cold Spring Harbor Laboratory)	J M Alexander, Juan Guan, Bo Han Huang, Stavros Lomvardas, Orion David Weiner
10.1016/j.jtbi.2018.07.021	2018	MATHT: A web server for comprehensive transcriptome data analysis	Journal of Theoretical Biology	Wei Song, Huaping Liu, Jiajia Wang, Yan Kong, Xia Yin, Weidong Zang
10.1109/bibm.2018.8621317	2018	MULTI-X, a State-of-the-Art Cloud-Based Ecosystem for Biomedical Research		Milton Hoz de Vila, Rahman Attar, Marco Pereañez, Alejandro Federico Frangi
10.1109/bibm.2018.8621171	2018	MetaFlow: an interactive user-friendly workflow for automated analysis of whole genome shotgun sequencing metagenomic data		Usama Bakry, Mohamed Fares, Ali Kishk, Mohamed S. El-Hadidi
	2018	Molecular and Synaptic Alterations in the Striatum of GluN1-Deficient Mice	TSpace (University of Toronto)	Yuxiao Chen
10.1096/fj.201801638r	2018	NF‐κB p65 dimerization and DNA‐binding is important for inflammatory gene expression	The FASEB Journal	Tabea Riedlinger, Robert Liefke, Johanna Meier‐Soelch, Liane Jurida, Andrea Nist, Thorsten Stiewe, Michael Kracht, Michael Lienhard Schmitz
10.1109/tkde.2018.2871031	2018	Next Generation Indexing for Genomic Intervals	IEEE Transactions on Knowledge and Data Engineering	Vahid Jalili, Matteo Matteucci, Jeremy Goecks, Yashar Deldjoo, Stefano Ceri
10.1534/genetics.118.301711	2018	Nucleosome Positioning by an Evolutionarily Conserved Chromatin Remodeler Prevents Aberrant DNA Methylation in Neurospora	Genetics	Andrew D. Klocko, Miki Uesaka, Tereza Ormsby, Michael R. Rountree, Elizabeth T. Wiles, Keyur K. Adhvaryu, Shinji Honda, Eric U. Selker
10.1109/bigdata.2018.8622351	2018	Optimized Storing of Workflow Outputs through Mining Association Rules		Debasish Chakroborti, Manishankar Mondal, Banani Roy, Chanchal Kumar Roy, Kevin A. Schneider
10.1101/375097	2018	PathwayMatcher: proteoform-centric network construction enables fine-granularity multi-omics pathway mapping	bioRxiv (Cold Spring Harbor Laboratory)	Luis Francisco Hernández Sánchez, Bram Burger, Carlos Horro, Antonio Fabregat, Stefan E. Johansson, Pål R. Njølstad, Harald Barsnes, Henning Hermjakob, Marc Vaudel
10.1016/j.isci.2018.10.023	2018	Pergola: Boosting Visualization and Analysis of Longitudinal Data by Unlocking Genomic Analysis Tools	iScience	Jose Espinosa‐Carrasco, Ionas Erb, Antonio Hermoso, Julia V. Ponomarenko, Mara Dierssen, Cédric Notredame
10.1186/s40168-018-0560-y	2018	Profiling the airway in the macaque model of tuberculosis reveals variable microbial dysbiosis and alteration of community structure	Microbiome	Anthony M. Cadena, Yixuan Ma, Tao Ding, MacKenzie M. Bryant, Pauline A Maiello, Adam B. Geber, Philana Ling Lin, JoAnne L. Flynn, Elodie Ghedin
10.1021/acs.jproteome.8b00727	2018	QuanTP: A Software Resource for Quantitative Proteo-Transcriptomic Comparative Data Analysis and Informatics	Journal of Proteome Research	Praveen Kumar, Priyabrata Panigrahi, James E. Johnson, Wanda J. Weber, Subina Mehta, Ray Sajulga, Caleb Easterly, B.A. Crooker, Mohammad Heydarian, Krishanpal Anamika, Timothy J. Griffin, Pratik Jagtap
10.12688/f1000research.15140.1	2018	Recommendations for the packaging and containerizing of bioinformatics software	F1000Research	Björn Grüening, Olivier Sallou, Pablo A Moreno, Felipe da Veiga Leprevost, Hervé Ménager, Dan Søndergaard, Hannes Luc Röst, Timo T. Sachsenberg, Brian D. O’Connor, Fábio Madeira, Victoria Domínguez Del Angel, Michael Robin Crusoe, S.D. Varma, Daniel Blankenberg, Rafael C. Jiménez, BioContainers Comm
10.1109/ucc.2018.00031	2018	Return on Investment for Three Cyberinfrastructure Facilities: A Local Campus Supercomputer, the NSF-Funded Jetstream Cloud System, and XSEDE (the eXtreme Science and Engineering Discovery Environment)		Craig A. Stewart, David Y. Hancock, Julie Wernert, Matthew R. Link, Nancy Wilkins‐Diehr, Therese M. Miller, Kelly Gaither, Winona Snapp‐Childs
10.1371/journal.pone.0205577	2018	SNPSelect: A scalable and flexible targeted sequence-based genotyping solution	PLoS ONE	René C. J. Hogers, Marjo de Ruiter, Koen H. J. Huvenaars, Hein van der Poel, Antoine Janssen, Michiel J. T. van Eijk, Nathalie J. van Orsouw
10.1093/nar/gky847	2018	Salicylic acid-induced transcriptional reprogramming by the HAC–NPR1–TGA histone acetyltransferase complex in Arabidopsis	Nucleic Acids Research	Hongshi Jin, Sun‐Mee Choi, Min‐Jeong Kang, Se-Hun Yun, Dong-Jin Kwon, Yoo‐Sun Noh, Bosl Noh
10.1142/9789813279827_0019	2018	Semantic workflows for benchmark challenges: Enhancing comparability, reusability and reproducibility		Arunima Srivastava, Ravali Adusumilli, Hunter Boyce, Daniel Garijo, Varun Ratnakar, Rajiv Mayani, Thomas Yu, Raghu Machiraju, Yolanda Gil, Parag Mallick
10.1101/408625	2018	SeqTailor: a user-friendly webserver for the extraction of DNA or protein sequences from next-generation sequencing data	bioRxiv (Cold Spring Harbor Laboratory)	Peng Zhang, Bertrand Boisson, Jean‐Laurent Casanova, Laurent Abel, Yuval Itan
10.1371/journal.pone.0209191	2018	The CbrB Regulon: Promoter dissection reveals novel insights into the CbrAB expression network in Pseudomonas putida	PLoS ONE	Rocío Barroso, Sofía M. García‐Mauriño, Laura Tomás‐Gallardo, Eloísa Andújar, Mónica Pérez-Alegre, Eduardo Santero, Inés Canosa
