year	package	new_version
2023	aviary	0.7.0
2023	aviary	0.7.2
2023	aviary	0.8.1
2023	aviary	0.8.2
2023	aviary	0.8.3
2023	b2b-utils	0.017
2023	b2b-utils	0.018
2023	b2b-utils	0.019
2023	b2btools	3.0.6
2023	bacpage	2023.11.10.1
2023	bactopia-assembler	1.0.0
2023	bactopia-assembler	1.0.1
2023	bactopia-assembler	1.0.2
2023	bactopia-assembler	1.0.3
2023	bactopia-gather	1.0.0
2023	bactopia-gather	1.0.1
2023	bactopia-gather	1.0.2
2023	bactopia-gather	1.0.3
2023	bactopia-gather	1.0.4
2023	bactopia-py	1.0.0
2023	bactopia-py	1.0.1
2023	bactopia-py	1.0.2
2023	bactopia-py	1.0.3
2023	bactopia-py	1.0.4
2023	bactopia-py	1.0.5
2023	bactopia-py	1.0.6
2023	bactopia-py	1.0.7
2023	bactopia-py	1.0.8
2023	bactopia-qc	1.0.0
2023	bactopia-qc	1.0.1
2023	bactopia-qc	1.0.2
2023	bactopia-sketcher	1.0.0
2023	bactopia-sketcher	1.0.1
2023	bactopia-sketcher	1.0.2
2023	bactopia-teton	1.0.0
2023	bactopia-teton	1.0.1
2023	bactopia-teton	1.0.2
2023	bactopia-variants	1.0.0
2023	bactopia-variants	1.0.1
2023	bactopia	3.0.0
2023	badread	0.3.0
2023	badread	0.4.0
2023	bakta	1.7.0
2023	bakta	1.8.0
2023	bakta	1.8.1
2023	bakta	1.8.2
2023	bakta	1.9.0
2023	bakta	1.9.1
2023	baltic	0.1.8
2023	baltic	0.2.1
2023	baltic	0.2.2
2023	bam2fastx	3.0.0
2023	bamdash	0.2
2023	bamdash	0.2.1
2023	bamdash	0.2.2
2023	bamdash	0.2.3
2023	bamread	0.0.13
2023	bamread	0.0.16
2023	bamstats	0.3.5
2023	baredsc	1.1.2
2023	barseqcount	0.1.3
2023	barseqcount	0.1.4
2023	barseqcount	0.1.5
2023	bayescode	1.2.2
2023	bayescode	1.3.0
2023	bayescode	1.3.1
2023	bayescode	1.3.2
2023	baypass	2.31
2023	bbknn	1.6.0
2023	bcbio-gff	0.7.0
2023	bcftools-gtc2vcf-plugin	1.16
2023	bcftools-gtc2vcf-plugin	1.18
2023	bcftools-gtc2vcf-plugin	1.19
2023	bcftools	1.17
2023	bcftools	1.18
2023	bcftools	1.19
2023	beacon2-ri-tools	2.0.0
2023	beagle-lib	4.0.1
2023	beagle	5.4_22Jul22.46e
2023	beamspy	1.2.0
2023	beav	0.0.13
2023	beav	0.0.14
2023	beav	0.2
2023	beav	0.4.5
2023	beav	0.5.1
2023	beav	0.5.2
2023	beav	0.5.5
2023	beav	1.0.0
2023	bedgovcf	0.1.0
2023	bedtools	2.31.0
2023	bedtools	2.31.1
2023	bellmans-gapc	2023.07.05
2023	bifrost	1.2.0
2023	bifrost	1.2.1
2023	bifrost	1.3.1
2023	bigscape	1.1.6
2023	binchicken	0.10.0
2023	binette	0.1.6
2023	binny	2.2.18
2023	binspreader	3.16.0.dev
2023	biobb_adapters	4.0.0
2023	biobb_amber	4.0.0
2023	biobb_amber	4.0.1
2023	biobb_amber	4.1.0
2023	biobb_analysis	3.9.1
2023	biobb_analysis	4.0.0
2023	biobb_analysis	4.0.1
2023	biobb_analysis	4.0.2
2023	biobb_analysis	4.1.0
2023	biobb_chemistry	4.0.0
2023	biobb_chemistry	4.1.0
2023	biobb_cmip	3.9.0
2023	biobb_cmip	4.0.0
2023	biobb_cmip	4.1.0
2023	biobb_common	4.0.0
2023	biobb_common	4.1.0
2023	biobb_cp2k	4.0.0
2023	biobb_cp2k	4.1.0
2023	biobb_dna	4.0.0
2023	biobb_dna	4.1.0
2023	biobb_flexdyn	3.9.0
2023	biobb_flexdyn	4.0.0
2023	biobb_flexdyn	4.0.1
2023	biobb_flexdyn	4.0.2
2023	biobb_flexdyn	4.0.3
2023	biobb_flexdyn	4.1.0
2023	biobb_flexserv	3.9.1
